,vix,vix_ma,irx,irx_delta,curve_slope,spy_sma,spy_above_sma,qqq_mom,score_vix_level,score_vix_trend,score_rate_easing,score_trend,score_momentum,score_curve,composite
2024-09-12,17.06999969482422,17.359499883651733,4.840000152587891,-0.4029998779296875,-1.374000072479248,502.99163146972654,1,0.27816115690102383,2,1,1,1,1,0,6.0
2024-09-13,16.559999465942383,17.425999879837036,4.763000011444092,-0.4720001220703125,-1.3389999866485596,503.5411592102051,1,0.2790154932583502,2,1,1,1,1,0,6.0
2024-09-16,17.139999389648438,17.542999839782716,4.744999885559082,-0.48000001907348633,-1.3399999141693115,504.09257080078123,1,0.26303661815464907,2,1,1,1,1,0,6.0
2024-09-17,17.610000610351562,17.690999889373778,4.735000133514404,-0.48000001907348633,-1.3020000457763672,504.64665939331053,1,0.2857192446600698,2,1,1,1,1,0,6.0
2024-09-18,18.229999542236328,17.80849986076355,4.614999771118164,-0.5950002670288086,-1.1499998569488525,505.18389541625976,1,0.2788198500188046,2,0,1,1,1,0,5.0
2024-09-19,16.329999923706055,17.81149983406067,4.5929999351501465,-0.630000114440918,-1.0899999141693115,505.75495834350585,1,0.31395411639387216,2,1,1,1,1,0,6.0
2024-09-20,16.149999618530273,17.741499853134155,4.545000076293945,-0.684999942779541,-1.061000108718872,506.3328680419922,1,0.33062816095743064,2,1,1,1,1,0,6.0
2024-09-23,15.890000343322754,17.742999887466432,4.502999782562256,-0.7200002670288086,-1.0069997310638428,506.9181890869141,1,0.3590594785539536,2,1,1,1,1,0,6.0
2024-09-24,15.390000343322754,17.704999923706055,4.494999885559082,-0.7179999351501465,-1.0159997940063477,507.52043350219725,1,0.36542403012919333,2,1,1,1,1,0,6.0
2024-09-25,15.40999984741211,17.70399990081787,4.486999988555908,-0.7309999465942383,-0.9690001010894775,508.0996713256836,1,0.36022917599870263,2,1,1,1,1,0,6.0
2024-09-26,15.369999885559082,17.616999864578247,4.4679999351501465,-0.7600002288818359,-0.9089999198913574,508.680463104248,1,0.3913411783551406,2,1,1,1,1,0,6.0
2024-09-27,16.959999084472656,17.682499837875366,4.48199987411499,-0.7480001449584961,-0.9789998531341553,509.2485029602051,1,0.38037507954640115,2,1,1,1,1,0,6.0
2024-09-30,16.729999542236328,17.768999814987183,4.498000144958496,-0.7269997596740723,-0.9210002422332764,509.81756546020506,1,0.3726359250375302,2,1,1,1,1,0,6.0
2024-10-01,19.260000228881836,17.69599986076355,4.48199987411499,-0.7360000610351562,-0.9609999656677246,510.3303631591797,1,0.3525296765379258,2,0,1,1,1,0,5.0
2024-10-02,18.899999618530273,17.574999856948853,4.4730000495910645,-0.7519998550415039,-0.9200000762939453,510.8370213317871,1,0.3432304564411046,2,0,1,1,1,0,5.0
2024-10-03,20.489999771118164,17.604499864578248,4.465000152587891,-0.7599997520446777,-0.8300001621246338,511.3423373413086,1,0.36620355701234986,1,0,1,1,1,0,4.0
2024-10-04,19.209999084472656,17.44599986076355,4.505000114440918,-0.6929998397827148,-0.692000150680542,511.86015258789064,1,0.3638979261349695,2,0,1,1,1,0,5.0
2024-10-07,22.639999389648438,17.605499792099,4.525000095367432,-0.6729998588562012,-0.6560001373291016,512.3385585021973,1,0.35327585438713016,1,0,1,1,1,0,4.0
2024-10-08,21.420000076293945,17.722499799728393,4.5279998779296875,-0.6649999618530273,-0.6639997959136963,512.8753607177734,1,0.35085226874649433,1,0,1,1,1,0,4.0
2024-10-09,20.860000610351562,17.88099980354309,4.534999847412109,-0.6579999923706055,-0.6269998550415039,513.4100581359863,1,0.3545729376049289,1,0,1,1,1,0,4.0
2024-10-10,20.93000030517578,18.07399983406067,4.53000020980835,-0.6649999618530273,-0.6110002994537354,513.935171508789,1,0.34558298916563945,1,0,1,1,1,0,4.0
2024-10-11,20.459999084472656,18.268999814987183,4.514999866485596,-0.6779999732971191,-0.6359999179840088,514.4674990844727,1,0.3381384163941996,1,0,1,1,1,0,4.0
2024-10-14,19.700000762939453,18.396999883651734,4.51800012588501,-0.6749997138977051,-0.6180000305175781,515.0189247131348,1,0.35407260427655274,2,0,1,1,1,0,5.0
2024-10-15,20.639999389648438,18.548499822616577,4.514999866485596,-0.6750001907348633,-0.6549999713897705,515.5471737670898,1,0.352979830019547,1,0,1,1,1,0,4.0
2024-10-16,19.579999923706055,18.615999841690062,4.502999782562256,-0.6700000762939453,-0.6609997749328613,516.0945166015625,1,0.33801736303478513,2,0,1,1,1,0,5.0
2024-10-17,19.110000610351562,18.75499987602234,4.514999866485596,-0.6550002098083496,-0.6059999465942383,516.6550486755372,1,0.34334384054563705,2,0,1,1,1,0,5.0
2024-10-18,18.030000686645508,18.8489999294281,4.513000011444092,-0.6469998359680176,-0.6370000839233398,517.2453659057617,1,0.3701221055244228,2,1,1,1,1,0,6.0
2024-10-21,18.3700008392334,18.97299995422363,4.51800012588501,-0.6370000839233398,-0.5420000553131104,517.8383158874511,1,0.3857204584097862,2,1,1,1,1,0,6.0
2024-10-22,18.200000762939453,19.11349997520447,4.5,-0.6469998359680176,-0.49499988555908203,518.4266288757324,1,0.4082389659809378,2,1,1,1,1,0,6.0
2024-10-23,19.239999771118164,19.30499997138977,4.505000114440918,-0.630000114440918,-0.4479999542236328,518.9562553405761,1,0.38248757355702745,2,1,1,1,1,0,6.0
2024-10-24,19.079999923706055,19.49049997329712,4.486999988555908,-0.6480002403259277,-0.4679999351501465,519.4955258178711,1,0.38027086393071796,2,1,1,1,1,0,6.0
2024-10-25,20.329999923706055,19.65900001525879,4.510000228881836,-0.6049995422363281,-0.4590001106262207,520.0207723999024,1,0.4235232723547857,1,0,1,1,1,0,4.0
2024-10-28,19.799999237060547,19.8125,4.48199987411499,-0.5480003356933594,-0.37400007247924805,520.5558335876465,1,0.4514279019466474,2,1,1,1,1,0,6.0
2024-10-29,19.34000015258789,19.816499996185303,4.480000019073486,-0.5799999237060547,-0.37599992752075195,521.0939060974121,1,0.4583721288374587,2,1,1,1,1,0,6.0
2024-10-30,20.350000381469727,19.889000034332277,4.4629998207092285,-0.6170001029968262,-0.3359999656677246,521.6318495178223,1,0.4312268650428497,1,0,1,1,1,0,4.0
2024-10-31,23.15999984741211,20.022500038146973,4.432000160217285,-0.6479997634887695,-0.27699995040893555,522.1267906188965,1,0.3884586136477888,1,0,1,1,1,0,4.0
2024-11-01,21.8799991607666,20.15600004196167,4.400000095367432,-0.6830000877380371,-0.19099998474121094,522.6130821228028,1,0.3748684213722908,1,0,1,1,1,0,4.0
2024-11-04,21.979999542236328,20.123000049591063,4.418000221252441,-0.6569995880126953,-0.25100040435791016,523.0644274902344,1,0.34642132487973654,1,0,1,1,1,0,4.0
2024-11-05,20.489999771118164,20.076500034332277,4.422999858856201,-0.6500000953674316,-0.25099992752075195,523.5446531677246,1,0.3477627327644004,1,0,1,1,1,0,4.0
2024-11-06,16.270000457763672,19.84700002670288,4.429999828338623,-0.6230001449584961,-0.15799999237060547,524.0884552001953,1,0.3787477393795613,2,1,1,1,1,0,6.0
2024-11-07,15.199999809265137,19.56050000190735,4.420000076293945,-0.6430001258850098,-0.22800016403198242,524.6521258544922,1,0.3873411670968636,2,1,1,1,1,0,6.0
2024-11-08,14.9399995803833,19.28450002670288,4.422999858856201,-0.6570000648498535,-0.23099994659423828,525.2156230163574,1,0.3880685652024247,2,1,1,1,1,0,6.0
2024-11-11,14.970000267028809,19.048000001907347,4.414999961853027,-0.6599998474121094,-0.2199997901916504,525.7849369812012,1,0.39801682539913696,2,1,1,1,1,0,6.0
2024-11-12,14.710000038146973,18.751500034332274,4.422999858856201,-0.6400003433227539,-0.10899972915649414,526.3263319396973,1,0.3648028042733311,2,1,1,1,1,0,6.0
2024-11-13,14.020000457763672,18.473500061035157,4.389999866485596,-0.6430001258850098,-0.08899974822998047,526.8710005187988,1,0.3673107564716196,2,1,1,1,1,0,6.0
2024-11-14,14.3100004196167,18.233500051498414,4.382999897003174,-0.6220002174377441,-0.09100008010864258,527.435783996582,1,0.3291955449812076,2,1,1,1,1,0,6.0
2024-11-15,16.139999389648438,18.13899998664856,4.39300012588501,-0.6319999694824219,-0.0950002670288086,527.9324827575683,1,0.29655042855503266,2,1,1,1,1,0,6.0
2024-11-18,15.579999923706055,17.99949994087219,4.4029998779296875,-0.5970001220703125,-0.12599992752075195,528.4159103393555,1,0.3044419633703914,2,1,1,1,1,0,6.0
2024-11-19,16.350000381469727,17.906999921798707,4.4079999923706055,-0.5900001525878906,-0.16200017929077148,528.9186573791504,1,0.31311011490127094,2,1,1,1,1,0,6.0
2024-11-20,17.15999984741211,17.802999925613403,4.409999847412109,-0.5580000877380371,-0.13499975204467773,529.4154284667969,1,0.2965680300587179,2,1,1,1,1,0,6.0
2024-11-21,16.8700008392334,17.692499971389772,4.413000106811523,-0.5419998168945312,-0.10800027847290039,529.907721862793,1,0.3088358003235956,2,1,1,1,1,0,6.0
2024-11-22,15.239999771118164,17.437999963760376,4.414999961853027,-0.5500001907348633,-0.11700010299682617,530.407982788086,1,0.3055915886019771,2,1,1,1,1,0,6.0
2024-11-25,14.600000381469727,17.178000020980836,4.40500020980835,-0.5629997253417969,-0.2330002784729004,530.904151763916,1,0.30950270800994306,2,1,1,1,1,0,6.0
