,sleeve_equity
2022-09-29,117116.19234988187
2022-09-30,117129.05978839859
2022-10-03,117944.4835215777
2022-10-04,118475.94101026663
2022-10-05,118285.0168743802
2022-10-06,118248.05082602358
2022-10-07,117801.3433999597
2022-10-10,117194.59509879799
2022-10-11,117135.6800990334
2022-10-12,117324.48889012648
2022-10-13,117105.0497908545
2022-10-14,116703.81021803812
2022-10-17,116857.83072222059
2022-10-18,116930.67174758564
2022-10-19,116570.87295391108
2022-10-20,116541.13660726981
2022-10-21,117044.22640504104
2022-10-24,116967.3456267819
2022-10-25,117044.61779438128
2022-10-26,117236.25291061978
2022-10-27,117206.66089944282
2022-10-28,116934.21255903604
2022-10-31,116721.71618655992
2022-11-01,117016.70140173225
2022-11-02,116837.11382089925
2022-11-03,116746.24672582085
2022-11-04,117605.06015115563
2022-11-07,117490.35113635483
2022-11-08,118298.89995948592
2022-11-09,118118.69149594745
2022-11-10,119306.69955504856
2022-11-11,119605.5769937892
2022-11-14,119718.93698922035
2022-11-15,119894.37871057676
2022-11-16,119791.2824610832
2022-11-17,119436.229129582
2022-11-18,119102.5161106681
2022-11-21,118852.59849091468
2022-11-22,118916.60461836093
2022-11-23,119204.73897283038
2022-11-25,119264.03070274458
2022-11-28,118888.89264860656
2022-11-29,119140.43653284232
2022-11-30,119775.9656198648
2022-12-01,120704.77466483106
2022-12-02,120569.98899812144
2022-12-05,119518.6186466228
2022-12-06,119709.8883896975
2022-12-07,120199.08905544855
