,equity
2024-03-14,186874.18908056617
2024-03-15,182916.75737487126
2024-03-18,185935.24281363832
2024-03-19,186790.31328740297
2024-03-20,190944.80124570438
2024-03-21,192626.28310543697
2024-03-22,192899.07951523009
2024-03-25,191738.76354496792
2024-03-26,190555.90045693878
2024-03-27,191739.74468267208
2024-03-28,190914.3378545195
2024-04-01,191743.74134051375
2024-04-02,188227.25311797208
2024-04-03,188985.5812852559
2024-04-04,183506.00505719634
2024-04-05,187060.27822564344
2024-04-08,187168.64714336197
2024-04-09,188132.8059738597
2024-04-10,185569.3773606707
2024-04-11,190370.94929244052
2024-04-12,185170.89789103868
2024-04-15,180536.0123433537
2024-04-16,180527.7009943935
2024-04-17,177357.74971722328
2024-04-18,176758.4958628387
2024-04-19,174328.926035512
2024-04-22,175434.30852818754
2024-04-23,177239.2105357684
2024-04-24,177159.73033561505
2024-04-25,174334.35659236633
2024-04-26,176559.48175257584
2024-04-29,177159.73458860707
2024-04-30,173984.442678491
2024-05-01,172867.6138496545
2024-05-02,174695.37919133442
2024-05-03,177553.89415602916
2024-05-06,180633.53305268328
2024-05-07,180635.00401470796
2024-05-08,180488.14547138487
2024-05-09,181220.57427515247
2024-05-10,182122.53848917683
2024-05-13,183053.77499461395
2024-05-14,185687.96459383558
2024-05-15,192319.4428852557
2024-05-16,191405.7637218162
2024-05-17,191083.40040679416
2024-05-20,193995.32697169427
2024-05-21,194675.32706673493
2024-05-22,194600.06242549815
2024-05-23,192423.45103823324
2024-05-24,196287.21084513448
2024-05-28,197813.09347498865
2024-05-29,194874.64023696486
2024-05-30,190693.04247430817
2024-05-31,190595.46098760766
2024-06-03,191637.3736706047
2024-06-04,192570.15236670076
2024-06-05,199758.66173675106
2024-06-06,199624.90766815998
2024-06-07,199191.98657140922
2024-06-10,200674.5846328268
2024-06-11,203388.22763235893
2024-06-12,208590.1335390993
2024-06-13,210602.1802109563
2024-06-14,212762.6299186136
2024-06-17,218055.66399633378
2024-06-18,218132.96402079033
2024-06-20,214512.21288530546
2024-06-21,213227.67469913387
2024-06-24,208624.3835845889
2024-06-25,212916.2471492056
2024-06-26,213863.77676117962
2024-06-27,214897.81214830914
2024-06-28,212645.32140911726
2024-07-01,214860.85236086266
2024-07-02,219113.93503266113
2024-07-03,222340.84776773263
2024-07-05,226287.37492113002
2024-07-08,227207.6918263241
2024-07-09,227411.29955092285
2024-07-10,232071.64267327136
2024-07-11,221850.75673589
2024-07-12,224065.58822165802
2024-07-15,225120.08343884104
2024-07-16,225305.2337591321
2024-07-17,214000.4819448205
2024-07-18,213027.88370827527
2024-07-19,211607.46909500437
2024-07-22,213656.57497438113
2024-07-23,213187.71270915482
2024-07-24,208103.3744736099
2024-07-25,206969.00265630192
2024-07-26,208050.71203830742
2024-07-29,208193.0753847118
2024-07-30,206589.8013485647
2024-07-31,210025.87741994427
2024-08-01,206717.49200381627
2024-08-02,203653.81495338137
2024-08-05,200380.22508192336
2024-08-06,200986.46481678536
2024-08-07,200245.62172420067
2024-08-08,201810.7345760636
2024-08-09,202466.93481311738
2024-08-12,202667.77121520296
2024-08-13,205017.37994490945
2024-08-14,205014.3120952414
2024-08-15,208462.0997380334
2024-08-16,208791.37275463605
2024-08-19,211409.24608354084
2024-08-20,210995.57782255177
2024-08-21,212079.669468071
2024-08-22,208349.09488440285
2024-08-23,210669.45455741076
2024-08-26,208724.4828552418
2024-08-27,209309.12680887076
2024-08-28,207098.40313791798
2024-08-29,206875.66136776883
2024-08-30,208915.83287090098
2024-09-03,202959.9781734401
2024-09-04,202246.3142815192
2024-09-05,202407.10616388166
2024-09-06,198939.40087979406
2024-09-09,200392.8440077236
2024-09-10,201387.06616827144
2024-09-11,204221.86215956067
2024-09-12,205671.38326166102
2024-09-13,206354.32627186424
2024-09-16,205683.14522321522
2024-09-17,205839.08962017982
2024-09-18,205066.02599158805
2024-09-19,209386.47166990352
2024-09-20,208984.4224265735
2024-09-23,209576.4130683819
2024-09-24,210691.02195546217
2024-09-25,210988.30120106996
2024-09-26,210892.84683588863
2024-09-27,209967.62546419352
2024-09-30,210542.63489196662
2024-10-01,207401.79014191992
2024-10-02,207640.25462135943
2024-10-03,207512.1767753097
2024-10-04,209846.00664201676
2024-10-07,207695.08597377475
2024-10-08,210385.78327636176
2024-10-09,211944.75615127184
2024-10-10,211781.95344975707
2024-10-11,211934.0383349664
2024-10-14,213634.10824839398
2024-10-15,207793.53116061195
2024-10-16,207841.33883655482
2024-10-17,207969.13064229157
2024-10-18,209198.80629340862
2024-10-21,209626.15462443227
2024-10-22,209947.1860245613
2024-10-23,206353.78094527053
2024-10-24,208147.1641063088
2024-10-25,209344.64424944288
2024-10-28,209514.92825921677
2024-10-29,211610.8799941914
2024-10-30,209916.08501222136
2024-10-31,204196.27461997425
2024-11-01,205538.04802888638
2024-11-04,205024.99280187156
2024-11-05,207228.79928878252
2024-11-06,212165.7122114414
2024-11-07,215722.39508639902
2024-11-08,216466.20522895904
2024-11-11,216168.57503968594
2024-11-12,215259.04690876204
2024-11-13,214533.08016175855
2024-11-14,210874.31312474274
2024-11-15,201678.45036871903
2024-11-18,203319.3741259904
2024-11-19,204981.93806339416
2024-11-20,204896.4641559895
2024-11-21,205721.20146301243
2024-11-22,205996.3483668411
2024-11-25,206267.751871409
2024-11-26,207395.51761883986
2024-11-27,205592.50215377565
2024-11-29,207525.82196434602
2024-12-02,210036.56364656638
2024-12-03,210761.15883950415
2024-12-04,213702.95187947043
2024-12-05,212295.38786539063
2024-12-06,214686.29678879085
2024-12-09,211137.33894641133
2024-12-10,210792.03010044995
2024-12-11,215148.40015987388
2024-12-12,212887.20540373554
2024-12-13,216435.52352215006
2024-12-16,223768.95438089027
2024-12-17,221449.65781343443
2024-12-18,204219.90785565315
2024-12-19,206215.0369562701
2024-12-20,207599.72179535404
2024-12-23,209047.01799436772
2024-12-24,211365.85352271437
2024-12-26,211298.3559409643
