,EW
2022-10-21,128272.71871611456
2022-10-24,128321.42395385026
2022-10-25,128573.6238546664
2022-10-26,128644.91398641485
2022-10-27,128639.84165049886
2022-10-28,128930.87204422447
2022-10-31,128674.6666513099
2022-11-01,128672.37822530535
2022-11-02,128073.36685450011
2022-11-03,127760.0645932935
2022-11-04,128286.80226773088
2022-11-07,128305.11890495828
2022-11-08,128693.87239301647
2022-11-09,128473.66246344979
2022-11-10,129507.45757865137
2022-11-11,129702.19891826247
2022-11-14,129671.1741725087
2022-11-15,129877.2412941473
2022-11-16,129857.74646272753
2022-11-17,129776.45128372921
2022-11-18,129658.99844635715
2022-11-21,129466.04458036623
2022-11-22,129786.75453701994
2022-11-23,130130.17242304588
2022-11-25,130043.05747505953
2022-11-28,129634.11026783708
2022-11-29,129575.09423642347
2022-11-30,130511.05602012537
2022-12-01,131062.2087394654
2022-12-02,131049.46103545144
2022-12-05,130241.05614864963
2022-12-06,130105.66186236302
2022-12-07,130410.30006440132
2022-12-08,130555.97318172223
2022-12-09,130269.62171040173
2022-12-12,130343.56584201095
2022-12-13,131016.60343507995
2022-12-14,130917.60438156061
2022-12-15,130106.92949588897
2022-12-16,130060.89230879693
2022-12-19,129703.77896872556
2022-12-20,129857.6291941494
2022-12-21,129981.33255962771
2022-12-22,129589.87361507743
2022-12-23,129614.57010357294
2022-12-27,129641.92721520828
2022-12-28,129355.80936307448
2022-12-29,129783.64626641179
2022-12-30,129827.69917863068
2023-01-03,130101.91599285402
2023-01-04,130470.21746100487
2023-01-05,130132.2512365886
2023-01-06,131052.83421587343
2023-01-09,131240.5484213809
2023-01-10,131302.07028298237
2023-01-11,131691.63038673322
2023-01-12,132298.72764966352
2023-01-13,132720.97639408195
2023-01-17,132484.55527663138
2023-01-18,132459.60100639972
2023-01-19,132694.0684331564
2023-01-20,132758.512235215
2023-01-23,133075.28311353043
2023-01-24,133361.9628693796
2023-01-25,133511.13706765603
2023-01-26,133517.20250667032
2023-01-27,133629.26435212378
2023-01-30,133090.1770058574
2023-01-31,133618.00764513807
2023-02-01,134604.27467587177
2023-02-02,134675.98098766894
2023-02-03,133214.32815730348
2023-02-06,132982.0086289122
2023-02-07,133394.8794014835
2023-02-08,133058.00755337946
2023-02-09,132584.79914509138
2023-02-10,132381.6846536648
2023-02-13,132658.753028665
2023-02-14,132786.41378610244
2023-02-15,132654.5563435387
2023-02-16,131964.06864708915
2023-02-17,131938.38403439854
2023-02-21,131177.4724605913
2023-02-22,131162.05718380495
2023-02-23,131393.93586508225
2023-02-24,130850.92375969549
2023-02-27,131125.65602095964
2023-02-28,131255.27289817913
2023-03-01,131145.0290148144
2023-03-02,131228.41912116043
2023-03-03,132106.73783407494
2023-03-06,131903.3445697672
2023-03-07,131223.88848634917
2023-03-08,131359.31842282767
2023-03-09,131183.91360228305
2023-03-10,131816.0665221201
2023-03-13,132296.4406408717
2023-03-14,132112.57001066365
2023-03-15,132702.54124598956
2023-03-16,132883.92722509225
2023-03-17,133872.85064415014
2023-03-20,133801.86075889695
2023-03-21,133250.3520089478
2023-03-22,133733.08222350635
2023-03-23,134356.58386253307
2023-03-24,134122.4855528226
2023-03-27,133320.4519341251
2023-03-28,133515.61257109867
2023-03-29,133735.95760842564
2023-03-30,134285.4618649837
2023-03-31,134729.5259042538
2023-04-03,135033.08616288187
2023-04-04,135640.95645489063
2023-04-05,135538.72299164342
2023-04-06,135541.1873170664
2023-04-10,134952.68113087406
2023-04-11,135053.889871732
2023-04-12,134984.136816616
2023-04-13,135750.18287721413
2023-04-14,134937.3945693295
2023-04-17,134595.7422518663
2023-04-18,134801.73047537677
2023-04-19,134625.86408202982
2023-04-20,134687.7763774863
2023-04-21,134275.87666860584
2023-04-24,134516.97183322097
2023-04-25,134505.6387082048
2023-04-26,134249.0270004725
2023-04-27,134636.882542684
2023-04-28,135156.48234239878
2023-05-01,134401.81411183314
2023-05-02,135250.57614530355
2023-05-03,135521.1344686042
2023-05-04,135504.20590522478
2023-05-05,135199.46331721233
2023-05-08,135030.5412457754
2023-05-09,135095.0826721531
2023-05-10,135466.36338609806
2023-05-11,135441.61626222113
2023-05-12,135121.32817777718
2023-05-15,135132.67427586965
2023-05-16,134670.99667699332
2023-05-17,134832.93205750894
2023-05-18,134751.7435933806
2023-05-19,134894.356866858
2023-05-22,134873.74066172147
2023-05-23,134585.310605489
2023-05-24,134094.74379203434
2023-05-25,134380.55808296596
2023-05-26,135319.72273015085
2023-05-30,135780.91321975848
2023-05-31,135784.81777574724
2023-06-01,136410.9550210481
2023-06-02,135953.17181641766
2023-06-05,136148.70924760413
2023-06-06,136295.2839848893
2023-06-07,134934.55119417966
2023-06-08,136037.24414425567
2023-06-09,136106.06511422078
2023-06-12,136860.28644671323
2023-06-13,136785.85941731508
2023-06-14,137263.61138138833
2023-06-15,138229.80398951756
2023-06-16,137805.21055455715
2023-06-20,137571.09400178332
2023-06-21,136954.00443399287
2023-06-22,136913.10914790677
2023-06-23,136771.26922655903
2023-06-26,136254.77114873345
2023-06-27,136736.83078748634
2023-06-28,136852.7133110118
2023-06-29,136345.11699118387
2023-06-30,137377.4011714821
2023-07-03,137405.62417646122
2023-07-05,137121.15791903503
2023-07-06,136425.74020398394
2023-07-07,136390.8395147973
2023-07-10,136467.6976941429
2023-07-11,136887.81576896107
2023-07-12,138046.54623456576
2023-07-13,138997.16753121786
2023-07-14,138783.61735631572
2023-07-17,139268.47935892333
2023-07-18,140136.44652035253
2023-07-19,140355.8210443933
2023-07-20,138799.94834069672
2023-07-21,138586.68502919163
2023-07-24,138450.3030293201
2023-07-25,138923.77719788044
2023-07-26,138964.73698646092
2023-07-27,137977.41500739165
