date,score,prev_w,new_w,equity_open,cost,trail_active,event,pos_return
2023-03-01,3.0,[0.10009256 0.3988973  0.50101015],[0.1 0.4 0.5],165617.39749546204,0.054787970647918086,True,,
2023-03-02,2.0,[0.09595298 0.4002109  0.50383612],[0.   0.35 0.65],164387.17805453023,7.208240326840048,True,,
2023-03-03,4.0,[0.         0.35400459 0.64599541],[0.25 0.25 0.5 ],165429.97774613195,12.407248330959895,True,,
2023-03-06,4.0,[0.25947638 0.24899902 0.4915246 ],[0.25 0.25 0.5 ],168301.38279317116,0.4784664955964283,True,,
2023-03-07,4.0,[0.24849184 0.25021153 0.50129663],[0.25 0.25 0.5 ],167897.0813855115,0.07596444987970212,True,,
2023-03-08,4.0,[0.24439302 0.24932074 0.50628624],[0.25 0.25 0.5 ],165844.21291222906,0.3127609058251188,True,,
2023-03-09,4.0,[0.25271772 0.24962396 0.49765832],[0.25 0.25 0.5 ],166656.5486110903,0.13587763063568495,True,,
2023-03-10,2.0,[0.24069795 0.24934788 0.50995416],[0.   0.35 0.65],163434.76133634284,11.801523841256598,True,,
2023-03-13,1.0,[0.         0.34457128 0.65542872],[0.  0.2 0.8],162100.2652877471,7.030512716257809,True,,
2023-03-14,2.0,[0.        0.2035951 0.7964049],[0.   0.35 0.65],162855.0467009936,7.152833003945511,True,,
2023-03-15,3.0,[0.         0.34726107 0.65273893],[0.1 0.4 0.5],162194.69086805434,7.4320330939900225,True,,
2023-03-16,2.0,[0.10276505 0.39926436 0.49797058],[0.   0.35 0.65],162877.68805168278,7.428660049953137,True,,
2023-03-17,3.0,[0.         0.35457254 0.64542746],[0.1 0.4 0.5],164053.60251196296,7.157369389109556,True,,
2023-03-20,3.0,[0.09842571 0.39928797 0.50228632],[0.1 0.4 0.5],163327.5529773095,0.11202579755924676,True,,
2023-03-21,3.0,[0.10254769 0.40245345 0.49499886],[0.1 0.4 0.5],165006.82533902966,0.24756684236117094,True,,
2023-03-22,4.0,[0.10178943 0.39999467 0.4982159 ],[0.25 0.25 0.5 ],165627.72433296184,7.452982870856782,True,,
2023-03-23,3.0,[0.24974486 0.24852828 0.50172686],[0.1 0.4 0.5],165080.1195573421,7.501491008132123,True,,
2023-03-24,3.0,[0.09975667 0.3982333  0.50201003],[0.1 0.4 0.5],164441.05303244956,0.09915929057825841,True,,
2023-03-27,4.0,[0.1012846  0.40292067 0.49579472],[0.25 0.25 0.5 ],165865.35753964045,7.609272628911779,True,,
2023-03-28,4.0,[0.24415819 0.25092336 0.50491845],[0.25 0.25 0.5 ],164271.98559223776,0.2878935409399188,True,,
2023-03-29,5.0,[0.25390947 0.25040294 0.49568759],[0.4 0.1 0.5],165731.26783764275,7.477940959992517,True,,
2023-03-30,5.0,[0.40926004 0.09929344 0.49144652],[0.4 0.1 0.5],168639.14174735258,0.4684816878880156,True,,
2023-03-31,5.0,[0.40151288 0.09984969 0.49863743],[0.4 0.1 0.5],169130.79491816746,0.07676232012265176,True,,
2023-04-03,5.0,[0.40553192 0.09991632 0.49455176],[0.4 0.1 0.5],171025.06145471663,0.2838290935069299,True,,
2023-04-04,5.0,[0.4038251  0.09990776 0.49626713],[0.4 0.1 0.5],172342.45630929276,0.19776838098552432,True,,
2023-04-05,5.0,[0.39438272 0.10016125 0.50545603],[0.4 0.1 0.5],170513.93411467562,0.28734756900920844,True,,
2023-04-06,5.0,[0.391118   0.10122814 0.50765386],[0.4 0.1 0.5],167974.18004041666,0.4475841626179188,True,,
2023-04-10,5.0,[0.40160657 0.09968402 0.4987094 ],[0.4 0.1 0.5],168439.9031856246,0.08118336009644031,True,,
2023-04-11,5.0,[0.40601797 0.09972052 0.49426151],[0.4 0.1 0.5],170428.15890217762,0.3076892969249682,True,,
2023-04-12,5.0,[0.39962895 0.10037266 0.49999839],[0.4 0.1 0.5],170461.40189459742,0.019057116123448504,True,,
2023-04-13,5.0,[0.39302567 0.10059503 0.5063793 ],[0.4 0.1 0.5],168346.39490222884,0.352230943272349,True,,
2023-04-14,5.0,[0.40569416 0.09976614 0.49453969],[0.4 0.1 0.5],170237.5741766849,0.2908080273721111,True,,
2023-04-17,5.0,[0.40123598 0.09968919 0.49907483],[0.4 0.1 0.5],170586.04768690123,0.06325240536487962,True,,
2023-04-18,5.0,[0.4059004  0.09964187 0.49445773],[0.4 0.1 0.5],172531.7458050573,0.3054019515738944,True,,
2023-04-19,5.0,[0.38984251 0.10099001 0.50916748],[0.4 0.1 0.5],169458.85562216997,0.5163829998381633,True,,
2023-04-20,5.0,[0.39826656 0.10006753 0.50166591],[0.4 0.1 0.5],168929.08668625302,0.08784835470798888,True,,
2023-04-21,5.0,[0.4001353  0.10015955 0.49970514],[0.4 0.1 0.5],169061.84548608662,0.014954652417225489,True,,
2023-04-24,5.0,[0.4009672  0.09978209 0.49925071],[0.4 0.1 0.5],169348.82315520395,0.049138424810855744,True,,
2023-04-25,5.0,[0.39531559 0.10047694 0.50420747],[0.4 0.1 0.5],167968.0788202753,0.2360496481943249,True,,
2023-04-26,4.0,[0.39795247 0.09953759 0.50250994],[0.25 0.25 0.5 ],167161.72429746418,7.5454669206101315,True,,
2023-04-27,4.0,[0.25380273 0.24881372 0.49738355],[0.25 0.25 0.5 ],168066.7215295995,0.19173355690284358,True,,
2023-04-28,5.0,[0.25682114 0.24950867 0.49367019],[0.4 0.1 0.5],170255.2413831252,7.636390419805788,True,,
2023-05-01,5.0,[0.4038833  0.10013601 0.49598068],[0.4 0.1 0.5],171660.7819320704,0.206987678194337,True,,
2023-05-02,5.0,[0.40002883 0.09983868 0.50013249],[0.4 0.1 0.5],171648.2311835711,0.008306930820325392,True,,
2023-05-03,3.0,[0.39477916 0.10016139 0.50505944],[0.1 0.4 0.5],169962.71916890808,15.288415510707043,True,,
2023-05-04,3.0,[0.09805099 0.39841139 0.50353762],[0.1 0.4 0.5],168787.57932220283,0.1791317749412737,True,,
2023-05-05,3.0,[0.10093487 0.40061782 0.49844731],[0.1 0.4 0.5],169347.14458229608,0.0788829666433873,True,,
2023-05-08,5.0,[0.1028233 0.4008903 0.4962864],[0.4 0.1 0.5],170648.64567880472,15.403956868478504,True,,
2023-05-09,5.0,[0.39919681 0.09974502 0.50105817],[0.4 0.1 0.5],170307.2326166812,0.05406403721038203,True,,
2023-05-10,4.0,[0.40420121 0.09983579 0.495963  ],[0.25 0.25 0.5 ],171728.3351588063,7.944215167054825,True,,
2023-05-11,6.0,[0.25282367 0.24824998 0.49892635],[0.5 0.  0.5],172124.50852454855,12.818971909453353,True,,
2023-05-12,6.0,[0.50227426 0.         0.49772574],[0.5 0.  0.5],172932.52902755712,0.11798818254646759,True,,
2023-05-15,6.0,[0.49710673 0.         0.50289327],[0.5 0.  0.5],171971.79202003335,0.14926847279163155,True,,
2023-05-16,6.0,[0.50107441 0.         0.49892559],[0.5 0.  0.5],172376.17105597036,0.05556104200815192,True,,
2023-05-17,5.0,[0.50481912 0.         0.49518088],[0.4 0.1 0.5],174088.62068716297,5.47434464702569,True,,
2023-05-18,6.0,[0.40653591 0.09940319 0.4940609 ],[0.5 0.  0.5],176211.36883659483,5.254791537552645,True,,
2023-05-19,6.0,[0.51300381 0.         0.48699619],[0.5 0.  0.5],180947.97515989537,0.7059038319014191,True,,
2023-05-22,6.0,[0.49720277 0.         0.50279723],[0.5 0.  0.5],179976.9084729289,0.15103100360750338,True,,
2023-05-23,6.0,[0.49900066 0.         0.50099934],[0.5 0.  0.5],179654.0735751356,0.05386080347919365,True,,
2023-05-24,5.0,[0.48951709 0.         0.51048291],[0.4 0.1 0.5],176000.75473454018,5.280022642036208,True,,
2023-05-25,4.0,[0.41585628 0.09779649 0.48634723],[0.25 0.25 0.5 ],180973.25785630135,9.004665447396999,True,,
2023-05-26,5.0,[0.25248305 0.24937448 0.49814247],[0.4 0.1 0.5],181676.26728424325,8.141339356886592,True,,
2023-05-30,5.0,[0.42385722 0.09729479 0.47884799],[0.4 0.1 0.5],189731.3998569948,1.3579389852491557,True,,
2023-05-31,6.0,[0.39132268 0.10067678 0.50800055],[0.5 0.  0.5],186780.07831412385,6.089627541760163,True,,
2023-06-01,4.0,[0.49829814 0.         0.50170186],[0.25 0.25 0.5 ],186179.18259846471,13.96343869488485,True,,
2023-06-02,6.0,[0.25869091 0.24958166 0.49172742],[0.5 0.  0.5],189336.25425302377,14.176457164924395,True,,
2023-06-05,6.0,[0.50131215 0.         0.49868785],[0.5 0.  0.5],189859.50589123182,0.07473734130241656,True,,
2023-06-06,6.0,[0.49947245 0.         0.50052755],[0.5 0.  0.5],189698.02798019937,0.030022661043698596,True,,
